,cassandra_Q1,cassandra_Q2,cassandra_Q3,mongoDb_Q1,mongoDb_Q2,mongoDb_Q3,mysql_Q1,mysql_Q2,mysql_Q3,neo4j_Q1,neo4j_Q2,neo4j_Q3,redis_Q1,redis_Q2,redis_Q3
R1,4.698380708694458,10.347379922866821,62.623563051223755,1.5579559803009033,2.0821890830993652,2.0930728912353516,1.6311378479003906,3.785738945007324,1.1408989429473877,16.751440048217773,12.572658777236938,7.312814950942993,31.197493076324463,38.42039179801941,62.8969669342041
R2,3.5249381065368652,9.214822769165039,65.73206305503845,1.3508906364440918,1.3483467102050781,1.8914179801940918,1.6887290477752686,3.285037040710449,1.1941378116607666,15.070486068725586,11.092068195343018,6.954116106033325,28.919984102249146,35.36609983444214,64.84605002403259
R3,3.2974729537963867,9.549436807632446,64.22779607772827,1.3492398262023926,1.3473389148712158,1.8461530208587646,1.5478670597076416,3.729606866836548,1.1250851154327393,15.448716878890991,11.173037052154541,6.21997594833374,30.318093061447144,38.11369609832764,66.92829322814941
R4,3.611652135848999,9.417529106140137,63.645570039749146,1.3484508991241455,1.3604347705841064,1.8507072925567627,1.6450061798095703,3.5646839141845703,0.8444080352783203,16.031245708465576,11.13004183769226,6.196831941604614,32.28996205329895,39.401702880859375,65.51193809509277
R5,3.5707740783691406,9.319308042526245,64.34811019897461,1.4476640224456787,1.3333733081817627,1.87782621383667,1.5864458084106445,3.5339982509613037,0.9550666809082031,16.76783514022827,11.463976860046387,6.262274980545044,32.658565044403076,40.55370807647705,67.2953610420227
R6,3.4870030879974365,9.930460929870605,66.06337380409241,1.4047009944915771,1.35573410987854,2.042480945587158,1.6623308658599854,3.518937110900879,1.073350191116333,16.84048891067505,12.001206636428833,6.275685787200928,32.38583707809448,38.63304400444031,67.94699692726135
R7,3.6432251930236816,10.370564937591553,63.019633293151855,1.402561902999878,1.3342342376708984,2.0439929962158203,1.643308162689209,3.873439073562622,0.9834270477294922,17.658581972122192,12.593132972717285,6.369667053222656,31.76150608062744,39.649085998535156,66.80156207084656
R8,3.5238680839538574,10.521649360656738,61.185914039611816,1.4012770652770996,1.4076309204101562,1.8533470630645752,1.682708978652954,3.7072949409484863,0.9672520160675049,16.980642080307007,12.16098690032959,6.417618036270142,31.83478808403015,38.43900990486145,79.1792938709259
R9,3.5410850048065186,10.553335666656494,62.07471227645874,1.5108380317687988,2.0983548164367676,1.8726379871368408,1.5821118354797363,3.328831911087036,1.224146842956543,16.661011934280396,13.169585943222046,6.7027587890625,33.01177787780762,39.78756809234619,69.73462700843811
R10,3.5838370323181152,9.51647686958313,66.66217803955078,1.4074561595916748,1.347465991973877,1.3788180351257324,1.6664869785308838,3.0012898445129395,1.1379480361938477,16.520254135131836,12.615252017974854,6.843824148178101,31.955443143844604,40.09997224807739,69.43799591064453
R11,3.441171884536743,9.388056993484497,67.70696592330933,1.396859884262085,1.3390748500823975,1.9649951457977295,1.7111449241638184,2.461996078491211,1.1304552555084229,16.754941940307617,12.404487133026123,7.113250017166138,33.25997996330261,40.99934792518616,71.30351519584656
R12,3.5266847610473633,9.978243827819824,67.74147510528564,1.320976972579956,1.3968539237976074,2.611737012863159,1.6375138759613037,2.413419008255005,1.1709299087524414,16.85045027732849,12.077563762664795,6.78685188293457,31.577792167663574,39.5646858215332,79.97364282608032
R13,3.5796170234680176,10.047991037368774,64.6686098575592,1.3968818187713623,1.313377857208252,1.8989677429199219,1.6397361755371094,2.3245627880096436,1.0468809604644775,17.776548147201538,11.791491985321045,7.030034065246582,33.25223088264465,45.71444010734558,70.50152921676636
R14,3.625270128250122,10.440861940383911,64.05637812614441,1.4474291801452637,1.4090771675109863,1.969985008239746,1.6670498847961426,2.4494330883026123,0.8752241134643555,15.877948999404907,12.399368286132812,6.8760881423950195,31.853446006774902,48.08287000656128,71.64263892173767
R15,3.8344569206237793,9.861165046691895,64.70688915252686,1.9624381065368652,2.794255018234253,2.0770962238311768,1.6787848472595215,2.7419636249542236,1.187865972518921,15.809807777404785,12.264894962310791,7.31168007850647,34.98215413093567,39.705864906311035,89.76220726966858
R16,3.5899362564086914,9.66006088256836,65.4906849861145,1.6353349685668945,1.380248785018921,1.9227347373962402,1.5858941078186035,2.8292300701141357,1.3240687847137451,15.566451072692871,12.302541971206665,7.495660066604614,39.4642767906189,40.61563515663147,66.04175806045532
R17,4.075361967086792,9.842453002929688,70.14610195159912,1.356435775756836,1.3727521896362305,1.8703088760375977,1.6963720321655273,2.3095390796661377,0.8516891002655029,15.685574054718018,12.357194185256958,7.268229007720947,37.91828393936157,42.34245491027832,71.86273694038391
R18,4.2573559284210205,9.698783874511719,67.1252772808075,1.4364328384399414,1.883955955505371,1.9824559688568115,1.5996239185333252,2.0690128803253174,1.0349667072296143,16.085196018218994,13.095188856124878,6.924789905548096,33.353930950164795,43.6290967464447,67.14692616462708
R19,3.7150778770446777,9.614670991897583,69.1281909942627,1.3461802005767822,1.961148977279663,1.8824100494384766,1.6849069595336914,2.2141318321228027,1.1578807830810547,16.051657915115356,11.455024003982544,6.96949577331543,32.93596577644348,41.13002896308899,66.2846930027008
R20,4.045517921447754,10.845289945602417,68.80508065223694,1.3813607692718506,1.9577980041503906,1.8954851627349854,1.5487759113311768,2.040098190307617,1.0488648414611816,15.588849067687988,11.695549964904785,7.233587026596069,33.27845478057861,49.3238091468811,59.845104694366455
R21,4.167688846588135,9.664114952087402,66.30599999427795,1.446885108947754,2.000066041946411,1.9184041023254395,1.7070670127868652,2.1906538009643555,1.2024328708648682,15.591650009155273,11.499565124511719,6.628625869750977,34.72214484214783,45.94149208068848,48.094836950302124
R22,4.238396883010864,9.64962887763977,67.11316728591919,1.4276447296142578,1.4113318920135498,1.9721872806549072,1.5771610736846924,2.232483148574829,1.4127438068389893,15.743146657943726,11.644945859909058,7.049275159835815,35.062602043151855,39.64141607284546,50.01626801490784
R23,4.037053108215332,9.687463998794556,70.46600008010864,1.4952340126037598,1.3489210605621338,1.9346058368682861,1.570141077041626,2.1571052074432373,1.1021640300750732,15.560898065567017,11.248250246047974,6.590381860733032,33.734068870544434,41.63609600067139,48.47066283226013
R24,3.650115966796875,9.715359926223755,69.83131408691406,1.3643040657043457,1.3507537841796875,1.9336612224578857,1.5772509574890137,2.1325619220733643,0.8385639190673828,15.336129903793335,11.378867864608765,6.987860202789307,39.327407121658325,44.99307680130005,47.373461961746216
R25,3.7002391815185547,9.60770297050476,72.98739695549011,1.3531968593597412,1.3570549488067627,1.8709230422973633,1.5673251152038574,2.055190086364746,1.3549599647521973,15.050661087036133,12.123004913330078,6.995733976364136,39.26540780067444,57.56921315193176,48.60312557220459
R26,3.664456844329834,9.97678828239441,73.53953886032104,1.3473470211029053,1.3875250816345215,1.834496021270752,1.5604360103607178,2.055169105529785,1.110285997390747,15.246282577514648,11.562552213668823,6.953298807144165,36.34329009056091,41.571420192718506,47.887047290802
R27,3.464431047439575,10.509964227676392,72.09111595153809,1.375554084777832,1.4190161228179932,1.8456201553344727,1.6291048526763916,2.048577070236206,0.9683170318603516,15.121794939041138,11.140746116638184,7.005835056304932,32.53066396713257,38.76009798049927,59.57316493988037
R28,3.5833029747009277,9.638145923614502,66.59617900848389,1.4051697254180908,1.3648381233215332,1.8619410991668701,1.5214030742645264,2.010856866836548,1.2465579509735107,15.237297773361206,11.48790717124939,6.867448091506958,33.07619094848633,39.80928015708923,52.99728989601135
R29,3.5907390117645264,9.576022863388062,72.57592725753784,1.418807029724121,1.361149787902832,1.8629729747772217,1.7675809860229492,2.1503920555114746,1.122654914855957,15.145852088928223,11.604269981384277,7.35672402381897,35.09919214248657,43.978870153427124,54.203243017196655
R30,3.6371700763702393,9.658740043640137,66.72579526901245,1.353334903717041,1.3416428565979004,1.896902084350586,1.8943157196044922,2.216111898422241,0.87394118309021,15.619123220443726,11.29549503326416,7.1010541915893555,49.149391174316406,38.761176109313965,57.24837779998779
R31,3.5942540168762207,9.587602138519287,64.91263103485107,1.3680460453033447,1.3259251117706299,1.8352608680725098,1.6802937984466553,2.22933292388916,1.1331028938293457,15.53987193107605,11.443174123764038,7.4773900508880615,39.057734966278076,42.53405284881592,52.156630754470825
MIN,3.2974729537963867,9.214822769165039,61.185914039611816,1.320976972579956,1.313377857208252,1.3788180351257324,1.5214030742645264,2.010856866836548,0.8385639190673828,15.050661087036133,11.092068195343018,6.196831941604614,28.919984102249146,35.36609983444214,47.373461961746216
MAX,4.698380708694458,10.845289945602417,73.53953886032104,1.9624381065368652,2.794255018234253,2.611737012863159,1.8943157196044922,3.873439073562622,1.4127438068389893,17.776548147201538,13.169585943222046,7.495660066604614,49.149391174316406,57.56921315193176,89.76220726966858
MEAN,3.7258237100416616,9.85129277936874,66.8485043125768,1.4263512780589442,1.531995819460961,1.9223743561775453,1.6399359703063965,2.6664735040357037,1.091621668108048,15.999059238741475,11.878839708143666,6.889640677359797,34.37348577284044,41.76673239277255,63.276385368839385
